question,groundtruth,difficulty,response,scores,sources,faithfulness,answer_relevancy,context_precision,context_recall,noise_sensitivity(mode=relevant),semantic_similarity,answer_correctness
Qual è il tempo massimo di esposizione consentito nella zona 'Nucleo di Irradiazione Fragola'?,Il tempo massimo di esposizione per la zona Z-3 (Nucleo di Irradiazione Fragola) è di 12 minuti per turno.,facile,"Il tempo massimo di esposizione consentito nella zona ""Nucleo di Irradiazione Fragola"" è di 200 UD rilevate in area aperta.","[0.47574156522750854, 0.4831637144088745, 0.5786476135253906]","['synthetic_data\\Emergenza Impianto Sincro-Cristalli.pdf:1:1', 'synthetic_data\\Sicurezza Impianto Sincro-Cristalli.pdf:0:1', 'synthetic_data\\Manutenzione Impianto XJ-99.pdf:0:2']",1.0,0.8586026405549616,0.9999999999666667,1.0,1.0,0.8217586193794806,0.5054396548448702
Quali sono i requisiti di protezione obbligatori per accedere alla zona Z-2?,"Oltre ai DPI base (Guanti in Neoprene Quantico e Visore a Filtro Viola), sono obbligatori: Tuta Isolante Modello Ψ-12, Respiratore a Carboni di Nostalgia e Calzature Antilevitazione (SKU: ALV-3340).",medio,"Seguendo la lista fornita, le condizioni di protezione obbligatorie per entrare nella zona Z-2 sono:

1. Tuta Isolante Modello Ψ-12: resistenza termica certificata fino a -890 Gradi Fluttuanti

Questo dispositivo è specificamente indicato come requisito obbligatorio per la zona Z-2, quindi è necessario avere un guanto in neoprene quantico e un visore con filtro viola per entrare nella zona di protezione più alta.","[0.5593136548995972, 0.6046251058578491, 0.6127945184707642]","['synthetic_data\\Sicurezza Impianto Sincro-Cristalli.pdf:0:1', 'synthetic_data\\Sicurezza Impianto Sincro-Cristalli.pdf:0:2', 'synthetic_data\\Sicurezza Impianto Sincro-Cristalli.pdf:1:0']",1.0,0.8913532055740072,0.9999999999666667,1.0,0.0,0.5263357809755584,0.3815839452438896
Un Operatore Standard ha già accumulato 20 UD di esposizione oggi. Può entrare nel Nucleo di Irradiazione Fragola per un turno completo di 12 minuti?,"No. La zona Z-3 (Nucleo di Irradiazione Fragola) ha una soglia di allarme di 120 UD/ora, che equivale a 2 UD al minuto. In 12 minuti l'operatore assorbirebbe 24 UD. 20 (precedenti) + 24 = 44 UD. Sebbene sia sotto il limite di 50 UD, il documento specifica che la soglia di allarme immediato è 120 UD/ora, rendendo l'operazione rischiosa, ma tecnicamente il limite giornaliero dell'operatore standard è 50 UD.",difficile,"No, un Operatore Standard non può entrare nel Nucleo di Irradiazione Fragola per un turno completo di 12 minuti, poiché il limite giornaliero è di 50 UD. L'Operatore ha già accumulato 20 UD oggi, superando il limite massimo di 50 UD.","[0.506275475025177, 0.5165812969207764, 0.5609331130981445]","['synthetic_data\\Sicurezza Impianto Sincro-Cristalli.pdf:0:1', 'synthetic_data\\Emergenza Impianto Sincro-Cristalli.pdf:1:1', 'synthetic_data\\Manutenzione Impianto XJ-99.pdf:0:2']",0.0,0.7357221069264979,0.9999999999666667,1.0,0.0,0.7073981272460694,0.5518495318115173
Qual è la frequenza sonora in Hertz della sirena codice ROSA-7?,"Il documento menziona l'attivazione della sirena codice ROSA-7 in caso di superamento della soglia di 120 UD/ora, ma non ne specifica la frequenza sonora.",impossible,La sirena codice ROSA-7 ha una frequenza sonora di 440 Hz.,"[0.5701891183853149, 0.6057300567626953, 0.613858699798584]","['synthetic_data\\Sicurezza Impianto Sincro-Cristalli.pdf:0:2', 'synthetic_data\\Emergenza Impianto Sincro-Cristalli.pdf:2:2', 'synthetic_data\\Emergenza Impianto Sincro-Cristalli.pdf:2:1']",1.0,0.7823308428245639,0.3333333333,0.0,0.0,0.7535975078171334,0.5633993769542833
A quale temperatura si manifesta l'Effetto Amnesia Spaziale?,Si manifesta a temperature superiori a +200 Gradi Fluttuanti.,facile,L'Effetto Amnesia Spaziale si manifesta a temperature superiori a +200 Gradi Fluttuanti.,"[0.4230334758758545, 0.6615227460861206, 0.7152053117752075]","['synthetic_data\\Chimica dell_Etere Liquido.pdf:0:1', 'synthetic_data\\Emergenza Impianto Sincro-Cristalli.pdf:0:2', 'synthetic_data\\Emergenza Impianto Sincro-Cristalli.pdf:0:1']",1.0,0.8977311487997524,0.8333333332916666,1.0,0.0,0.6379258997969217,0.15948147494923043
Cosa accade se l'Etere Liquido viene accidentalmente miscelato con olio di oliva?,Si verifica un'inversione temporale locale (Codice Pericolo P-YEL-15).,medio,"Se l'Etere Liquido viene accidentalmente miscelato con olio di oliva, potrebbe risultare in una reazione chimica che può produrre gas sottile e altri effetti non desiderati. L'olio di oliva contiene sostanze volatili come gli oli volatilei, che possono essere trasportati via l'aria e quindi potrebbero essere miscelati con il liquido etere.

Inoltre, se il contenuto di etere è elevato, potrebbe causare una reazione chimica con i componenti del olio di oliva, producendo gas sottile. Tuttavia, senza informazioni specifiche sul volume totale e sui contenuti di etere liquido presente nel mix, non si può escludere che la reazione chimica potrebbe essere significativa.

Inoltre, se il contenuto di etere è elevato, potrebbe causare una sovrapressione nella camera vuoto, aumentando le probabilità di eventi anomali come inversione gravitazionale o perdita contenimento. Tuttavia, senza informazioni specifiche sul volume totale e sui contenuti di etere liquido presente nel mix, non si può escludere che la sovrapressione potrebbe essere significativa.

Inoltre, se il contenuto di etere è elevato, potrebbe causare una contaminazione jazz massiva. Tuttavia, senza informazioni specifiche sul volume totale e sui contenuti di etere liquido presente nel mix, non si può escludere che la contaminazione jazz potrebbe essere significativa.

Tuttavia, senza informazioni specifiche sul volume totale e sui contenuti di etere liquido presenti nel mix, è difficile prevedere con precisione i possibili effetti di una miscela accidentale tra etere liquido e olio di oliva.","[0.579412043094635, 0.5974702835083008, 0.6311514377593994]","['synthetic_data\\Chimica dell_Etere Liquido.pdf:0:0', 'synthetic_data\\Emergenza Impianto Sincro-Cristalli.pdf:0:1', 'synthetic_data\\Chimica dell_Etere Liquido.pdf:2:0']",1.0,0.0,0.9999999999666667,1.0,,0.23274279507169635,0.058185698767924086
"Se devo preparare 250 litri di miscela, quanti grammi di catalizzatore VortexCat™ 3000 devo utilizzare?",Il dosaggio è di 2.8 g per ogni 100 L. Per 250 L servono 7 grammi (2.8 * 2.5).,difficile,"Per preparare 250 litri di miscela, dovresti usare:

2.8 g / 100 L × 250 L = 70 g

Quindi, ti servirà circa 70 grammi di catalizzatore VortexCat™ 3000.","[0.39486056566238403, 0.4006866216659546, 0.5446151494979858]","['synthetic_data\\Chimica dell_Etere Liquido.pdf:1:1', 'synthetic_data\\Chimica dell_Etere Liquido.pdf:1:2', 'synthetic_data\\Logistiche e Gestione Materiali.pdf:0:1']",1.0,0.9443593103809009,0.99999999995,1.0,0.0,0.5944763305779096,0.6486190826444774
Qual è la formula molecolare specifica del componente 'Legante Nostalgico'?,"Il documento indica che il Legante Nostalgico compone il 5.5% della melassa, ma non fornisce la sua formula molecolare.",impossible,"La formula molecolare specifica del componente ""Legante Nostalgico"" è:

5.5% ±0.4%

Questo valore indica che il legante nostalgico contiene 5,5 percenti di sostanza in base al peso totale della reazione, con una tolerabilità di errore di ±0,4%.","[0.5403140783309937, 0.681161642074585, 0.7069073915481567]","['synthetic_data\\Chimica dell_Etere Liquido.pdf:0:2', 'synthetic_data\\Chimica dell_Etere Liquido.pdf:0:1', 'synthetic_data\\Chimica dell_Etere Liquido.pdf:1:1']",1.0,0.8406535541079739,0.0,0.0,0.0,0.7113005295221057,0.1778251323805264
Qual è il tempo di risposta previsto per un'allerta di Livello 3 (Arancione)?,Il tempo di risposta per il livello Arancione è di 5 minuti.,facile,Il tempo di risposta previsto per un'allerta di Livello 3 (Arancione) è 5 minuti.,"[0.5835301876068115, 0.59647136926651, 0.602818489074707]","['synthetic_data\\Emergenza Impianto Sincro-Cristalli.pdf:2:1', 'synthetic_data\\Emergenza Impianto Sincro-Cristalli.pdf:0:1', 'synthetic_data\\Emergenza Impianto Sincro-Cristalli.pdf:0:0']",1.0,0.7667527876792052,0.9999999999666667,1.0,0.0,0.7544526917903178,0.18861317294757945
Quali sono le azioni immediate da compiere nei primi 120 secondi in caso di rilascio incontrollato di Etere Liquido (EMR-101)?,1. Premere il pulsante di arresto generale PST-RED-01; 2. Indossare il Respiratore a Carboni di Nostalgia; 3. Evacuare il personale entro un raggio di 30 metri; 4. NON tentare di contenere manualmente.,medio,"In caso di rilascio incontrollato di Etere Liquido (EMR-101), le azioni immediate da compiere nei primi 120 secondi sono:

1. Premere pulsante di arresto generale PST-RED-01 (pannello ogni 25 m)

Questo segnale è stato specificamente indicato come immediato nel contesto fornito, pertanto dovrebbe essere eseguito inizialmente.

Ricorda che le azioni immediate possono variare in base alle circostanze specifiche del caso e potrebbero includere anche altre azioni di contenimento o risposta.","[0.4268914461135864, 0.5254677534103394, 0.5449901819229126]","['synthetic_data\\Emergenza Impianto Sincro-Cristalli.pdf:0:1', 'synthetic_data\\Emergenza Impianto Sincro-Cristalli.pdf:1:2', 'synthetic_data\\Emergenza Impianto Sincro-Cristalli.pdf:0:2']",1.0,0.0,0.9999999999666667,0.0,0.0,0.5635657016285469,0.35517713969285103
